"","strato","N","total","total_var","total_cv","total_se","total_deff","nd","DEPARTAMENTO","CLASE","SEXO","TOTAL_PET","DPNOM","TOTAL","PORC_PET","Exclusion_n","Exclusion_DEFF","Exclusion","Flag","varianza","ln_sigma2","var_est","eblup_var_su","eblup_var_or","cv_eblup_var_su","cv_eblup_var_or","diff"
"93","Archipielago de San Andres_U_H",20450,10527,462376.285202018,0.0645941448109587,679.982562424963,2.34790712703483,518,88,"Urbano","Hombre",17261,"Archipielago de San Andres",21198,81.4274931597321,0,0,0,"Incluir",462376.285202018,13.0441343086973,361983.612343085,10525.0507812556,10524.0477524128,5.71611450265163,6.46081500657035,0.795908867536938
"94","Atlantico_R_M",66447,10437,5712633.28121986,0.229003694788249,2390.11156250495,1.50844703801014,155,8,"Rural","Mujer",54759,"Atlantico",66621,82.1948034403567,0,0,0,"Incluir",5712633.28121986,15.558190645417,2725559.29257955,10435.9251278262,10432.6376109193,15.814341868175,22.891913324498,7.35928477397443
"95","Norte de Santander_R_M",153906,10262,9162988.38476036,0.294975915502192,3027.0428448835,1.25107709844891,202,54,"Rural","Mujer",129654,"Norte de Santander",164617,78.7610028125892,0,0,0,"Incluir",9162988.38476036,16.0306829263224,3806443.80987711,10301.4235774687,10365.7778910026,18.9303435053106,29.1653504238684,10.5339198391415
"96","Guaviare_U_H",19804,9843,1465653.46412116,0.122995200359232,1210.64175713592,2.2139916700071,148,95,"Urbano","Hombre",20742,"Guaviare",26142,79.3435850355749,0,0,0,"Incluir",1465653.46412116,14.197811751577,1527997.04904027,9835.87206706252,9834.82926008776,12.5651236700376,12.3072534926807,0.0358107784029862
"97","Huila_R_M",216757,9813,13393463.0914488,0.372944875263332,3659.70806095907,1.16833745831931,178,41,"Rural","Mujer",178554,"Huila",222076,80.4022046506601,0,0,0,"Incluir",13393463.0914488,16.4102773168975,4835665.83804304,9893.9806530626,10060.6705655802,22.2125156306697,36.3091477256162,14.4614875852422
"98","Choco_R_M",187600,9332,9595157.1384186,0.331933676055762,3097.60506495237,1.04497061743778,182,27,"Rural","Mujer",126175,"Choco",160811,78.4616723980325,0,0,0,"Incluir",9595157.1384186,16.0767690644049,3549770.71892669,9368.14957721606,9438.77114187086,20.1027802589786,32.7744396438571,13.004808580713
"99","Putumayo_U_H",20354,9275,1391419.05756398,0.127178897379287,1179.58427319288,2.01881302247994,149,86,"Urbano","Hombre",74062,"Putumayo",93180,79.4827216140803,0,0,0,"Incluir",1391419.05756398,14.1458346890603,2862599.20414325,9283.04369702877,9278.95767057808,18.2195105993834,12.7100245217405,-5.19107214058097
"100","Archipielago de San Andres_U_M",21973,9128,375943.49592798,0.0671715943195242,613.142312948617,1.86287237050809,567,88,"Urbano","Mujer",19281,"Archipielago de San Andres",23086,83.5181495278524,0,0,0,"Incluir",375943.49592798,12.8371941342921,315306.497237168,9126.48194531976,9125.84049013479,6.15242343862251,6.71840102469056,0.602177492478828
"101","Guaviare_U_M",20961,8936,1145570.27911263,0.119775421744555,1070.31316870934,1.82725821288112,171,95,"Urbano","Mujer",21564,"Guaviare",26848,80.318831942789,0,0,0,"Incluir",1145570.27911263,13.95141313134,1297482.48923885,8930.3532023753,8930.01586123491,12.7530131519258,11.9836772429343,-0.493031896726485
"102","Cesar_R_M",150647,8708,8594107.39592858,0.336652596108208,2931.57080691028,1.07885299761956,156,20,"Rural","Mujer",124814,"Cesar",160532,77.7502304836419,0,0,0,"Incluir",8594107.39592858,15.9665873398562,3594194.95300118,8745.0748912328,8804.92671661588,21.6692906073061,33.2551788817429,11.9619195867242
"103","Amazonas_U_H",18793,8103,888706.590945315,0.116341152479411,942.712358540671,2.12654967877562,206,91,"Urbano","Hombre",15816,"Amazonas",21101,74.9537936590683,0,0,0,"Incluir",888706.590945315,13.6975224160885,843136.769466728,8098.98303227521,8097.94444759,11.3363564368777,11.6399535488732,0.542339164816219
"104","Putumayo_U_M",21827,6461,899432.446768049,0.146785965649198,948.38412405947,1.62593901474938,179,86,"Urbano","Mujer",82720,"Putumayo",101168,81.7649849754863,0,0,0,"Incluir",899432.446768049,13.7095192286832,1762672.40203677,6468.78319951222,6465.18200134491,20.5195985341226,14.6672806094938,-5.47023819605952
"105","Amazonas_U_M",18713,5088,456249.245335074,0.132755944511997,675.462245677043,1.55963458723416,235,91,"Urbano","Mujer",15906,"Amazonas",21069,75.4948027908301,0,0,0,"Incluir",456249.245335074,13.0307945298174,451668.224943621,5086.2005249514,5085.80393643035,13.2127179964852,13.2804922530365,0.300944805602272
"106","Quindio_R_M",26285,4526,825659.314104831,0.200764024351564,908.657974215178,1.12924581353623,135,63,"Rural","Mujer",26450,"Quindio",30746,86.0274507252976,0,0,0,"Incluir",825659.314104831,13.6239375147635,729986.036295706,4523.97095437635,4523.14556566389,18.8841945830489,20.0867869812524,1.61173986471962
"107","Vaupes_U_H",5711,2635,89853.9383994054,0.113759569317003,299.756465150304,2.46518420397868,215,97,"Urbano","Hombre",5206,"Vaupes",6690,77.8176382660688,0,0,0,"Incluir",89853.9383994054,11.4059407242995,37612.1956258358,2634.8149936585,2634.47267202129,7.36058290670082,11.3780932281661,4.07782630197685
"108","Vaupes_U_M",5378,1386,37401.8730808087,0.139535092880698,193.395638732648,1.68367679568994,239,97,"Urbano","Mujer",4729,"Vaupes",6228,75.9312780989082,0,0,0,"Incluir",37401.8730808087,10.5294760645231,11495.41072928,1385.94661041183,1385.7920040128,7.73597632851738,13.9555317284308,6.22094063786971
"109","Bogota_R_H",16470,5945.58977035491,2716848.60860767,0.277228438416742,1648.28656750204,1.52296909655236,36,11,"Rural","Hombre",12487,"Bogota",15427,80.9425034031244,1,0,1,"Excluir",2716848.60860767,14.8149831668,1196628.11407535,5939.8183001389,5929.95530500397,18.4137626710087,27.7855405274561,9.94887009134976
"110","Bogota_R_M",11988,4378,1844385.72343671,0.310205946452428,1358.08163356873,1.55382189780027,29,11,"Rural","Mujer",12087,"Bogota",15036,80.3870710295291,1,0,1,"Excluir",1844385.72343671,14.4276568387928,927348.932106014,4373.86541450594,4368.13832036238,22.0143897718226,31.0827332321388,9.74084416910174
